CHARGE_FILING_DATE,CP_SEX,CP_NATIONAL_ORIGIN,CP_DOB,HISPANIC_CP,CP_RACE_STRING,R_NAICS_CODE,R_NAICS_DESCRIPTION,R_NUMBER_OF_EMPLOYEES,R_TYPE
Jan/13/2003 ,Male,Other National Origin - Obsolete,Dec/05/1964 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Jan/13/2003 ,Female,Hispanic - Obsolete,Apr/08/1960 ,NULL,O,922110,Courts,501+ Employees,State/Local Govt
Jan/14/2003 ,Female,Other National Origin - Obsolete,Mar/29/1983 ,NULL,W,517310,Telecommunications Resellers,15 - 100 Employees,Private Employer
Jan/14/2003 ,Female,Other National Origin - Obsolete,Feb/05/1982 ,NULL,B,561499,All Other Business Support Services,15 - 100 Employees,Private Employer
Jan/14/2003 ,Female,Other National Origin - Obsolete,Feb/21/1966 ,NULL,W,922120,Police Protection,15 - 100 Employees,State/Local Govt
Jan/15/2003 ,Female,Other National Origin - Obsolete,Feb/28/1961 ,NULL,B,561790,Other Services to Buildings and Dwellings,Unknown Number Of Employees,Private Employer
Jan/15/2003 ,Male,Other National Origin - Obsolete,Jun/06/1966 ,NULL,W,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,101 - 200 Employees,Private Employer
Jan/15/2003 ,Female,Mexican - Obsolete,Dec/15/1959 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Jan/15/2003 ,Female,Other National Origin - Obsolete,Jul/10/1965 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Jan/16/2003 ,Female,Other National Origin - Obsolete,Aug/15/1953 ,NULL,B,541710,"Research and Development in the Physical, Engineering, and Life Sciences",501+ Employees,Private Employer
Jan/16/2003 ,Female,Other National Origin - Obsolete,Dec/05/1972 ,NULL,B,611110,Elementary and Secondary Schools,501+ Employees,Public Elem/Secondary School
Jan/16/2003 ,Male,Other National Origin - Obsolete,Jun/04/1978 ,NULL,W,517910,Other Telecommunications,501+ Employees,Private Employer
Jan/16/2003 ,Female,NULL,NULL,NULL,NULL,523991,"Trust, Fiduciary, and Custody Activities",501+ Employees,Private Employer
Jan/16/2003 ,Male,Other National Origin - Obsolete,Apr/27/1958 ,NULL,W,236220,Commercial and Institutional Building Construction,15 - 100 Employees,Private Employer
Jan/16/2003 ,Female,Other National Origin - Obsolete,Oct/21/1985 ,NULL,O,541990,"All Other Professional, Scientific, and Technical Services",201 - 500 Employees,Private Employer
Jan/17/2003 ,Female,Mexican - Obsolete,Sep/11/1972 ,NULL,O,452990,All Other General Merchandise Stores,201 - 500 Employees,Private Employer
Jan/17/2003 ,Female,Other National Origin - Obsolete,May/31/1984 ,NULL,W,722110,Full-Service Restaurants,201 - 500 Employees,Private Employer
Jan/21/2003 ,Male,Other National Origin - Obsolete,Aug/21/1968 ,NULL,W,337214,Office Furniture (except Wood) Manufacturing,201 - 500 Employees,Private Employer
Jan/21/2003 ,Female,Other National Origin - Obsolete,Feb/22/1977 ,NULL,W,321999,All Other Miscellaneous Wood Product Manufacturing,15 - 100 Employees,Private Employer
Jan/21/2003 ,Female,Other National Origin - Obsolete,Nov/19/1963 ,NULL,W,517910,Other Telecommunications,101 - 200 Employees,Private Employer
Jan/21/2003 ,Female,Other National Origin - Obsolete,Jun/02/1965 ,NULL,W,311999,All Other Miscellaneous Food Manufacturing,15 - 100 Employees,Private Employer
Jan/21/2003 ,Female,Hispanic - Obsolete,Nov/30/1961 ,NULL,W,221119,Other Electric Power Generation,501+ Employees,State/Local Govt
Jan/21/2003 ,Female,Other National Origin - Obsolete,Dec/26/1977 ,NULL,A,445299,All Other Specialty Food Stores,15 - 100 Employees,Private Employer
Jan/21/2003 ,Male,Other National Origin - Obsolete,Aug/31/1942 ,NULL,W,611110,Elementary and Secondary Schools,501+ Employees,Private Employer
Jan/21/2003 ,Female,Other National Origin - Obsolete,Dec/17/1984 ,NULL,W,447190,Other Gasoline Stations,15 - 100 Employees,Private Employer
Jan/21/2003 ,Female,Other National Origin - Obsolete,Feb/18/1972 ,NULL,W,921190,Other General Government Support,101 - 200 Employees,State/Local Govt
Jan/21/2003 ,Female,Other National Origin - Obsolete,Oct/05/1960 ,NULL,O,921130,Public Finance Activities,15 - 100 Employees,Private Employer
Jan/22/2003 ,Female,Hispanic - Obsolete,Nov/16/1968 ,NULL,W,315991,"Hat, Cap, and Millinery Manufacturing",201 - 500 Employees,Private Employer
Jan/22/2003 ,Male,Hispanic - Obsolete,Feb/14/1976 ,NULL,W,312120,Breweries,501+ Employees,Private Employer
Jan/23/2003 ,Female,Hispanic - Obsolete,Dec/12/1962 ,NULL,W,441229,All Other Motor Vehicle Dealers,201 - 500 Employees,Private Employer
Jan/23/2003 ,Female,Other National Origin - Obsolete,Aug/02/1955 ,NULL,W,561499,All Other Business Support Services,Unknown Number Of Employees,Private Employer
Jan/23/2003 ,Female,Other National Origin - Obsolete,Aug/12/1965 ,NULL,W,622110,General Medical and Surgical Hospitals,15 - 100 Employees,Private Employer
Jan/23/2003 ,Female,Other National Origin - Obsolete,Aug/10/1963 ,NULL,O,541990,"All Other Professional, Scientific, and Technical Services",15 - 100 Employees,Private Employer
Jan/24/2003 ,Female,Hispanic - Obsolete,Jul/11/1978 ,NULL,O,NULL,NULL,101 - 200 Employees,Private Employer
Jan/24/2003 ,Female,Other National Origin - Obsolete,Jan/29/1965 ,NULL,W,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Jan/24/2003 ,Male,Other National Origin - Obsolete,May/19/1970 ,NULL,B,NULL,NULL,101 - 200 Employees,Private Employer
Jan/24/2003 ,Female,Other National Origin - Obsolete,Nov/23/1947 ,NULL,B,517910,Other Telecommunications,501+ Employees,Private Employer
Jan/27/2003 ,Male,Other National Origin - Obsolete,Dec/18/1964 ,NULL,B,561499,All Other Business Support Services,15 - 100 Employees,Private Employer
Jan/27/2003 ,Female,Other National Origin - Obsolete,Jul/19/1963 ,NULL,W,561499,All Other Business Support Services,15 - 100 Employees,Private Employer
Jan/28/2003 ,Female,Hispanic - Obsolete,Nov/17/1976 ,NULL,O,441229,All Other Motor Vehicle Dealers,201 - 500 Employees,Private Employer
Jan/28/2003 ,Male,Other National Origin - Obsolete,Oct/11/1950 ,NULL,W,453310,Used Merchandise Stores,501+ Employees,Private Employer
Jan/29/2003 ,Female,NULL,NULL,NULL,NULL,331111,Iron and Steel Mills,501+ Employees,Private Employer
Jan/29/2003 ,Male,Other National Origin - Obsolete,Nov/27/1946 ,NULL,W,811198,All Other Automotive Repair and Maintenance,15 - 100 Employees,Private Employer
Jan/29/2003 ,Female,Hispanic - Obsolete,Sep/14/1983 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Jan/29/2003 ,Female,Other National Origin - Obsolete,Dec/28/1968 ,NULL,B,NULL,NULL,15 - 100 Employees,Private Employer
Jan/29/2003 ,Female,Other National Origin - Obsolete,Mar/24/1971 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Jan/29/2003 ,Female,Other National Origin - Obsolete,Oct/06/1956 ,NULL,W,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Jan/30/2003 ,Female,Hispanic - Obsolete,Mar/22/1967 ,NULL,W,NULL,NULL,501+ Employees,State/Local Govt
Jan/30/2003 ,Female,Other National Origin - Obsolete,Feb/10/1951 ,NULL,W,621511,Medical Laboratories,15 - 100 Employees,Private Employer
Jan/29/2003 ,Female,Mexican - Obsolete,Dec/20/1948 ,NULL,O,NULL,NULL,501+ Employees,Private Employer
Jan/30/2003 ,Female,Other National Origin - Obsolete,Dec/23/1950 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Jan/30/2003 ,Female,Other National Origin - Obsolete,Jan/05/1959 ,NULL,W,561499,All Other Business Support Services,201 - 500 Employees,Private Employer
Jan/30/2003 ,Female,Other National Origin - Obsolete,Mar/12/1976 ,NULL,W,541990,"All Other Professional, Scientific, and Technical Services",15 - 100 Employees,Private Employer
Jan/30/2003 ,Male,NULL,Oct/02/1966 ,NULL,NULL,722110,Full-Service Restaurants,201 - 500 Employees,Private Employer
Jan/31/2003 ,Male,Other National Origin - Obsolete,Jun/13/1952 ,NULL,W,921120,Legislative Bodies,101 - 200 Employees,State/Local Govt
Jan/31/2003 ,Female,Other National Origin - Obsolete,Oct/02/1979 ,NULL,B,448110,Men's Clothing Stores,15 - 100 Employees,Private Employer
Jan/31/2003 ,Male,Other National Origin - Obsolete,Aug/19/1978 ,NULL,W,541219,Other Accounting Services,Unknown Number Of Employees,Private Employer
Jan/31/2003 ,Female,Other National Origin - Obsolete,Jan/01/1950 ,NULL,B,NULL,NULL,15 - 100 Employees,Private Employer
Jan/31/2003 ,Female,Other National Origin - Obsolete,Aug/05/1968 ,NULL,B,923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)",15 - 100 Employees,Other
Jan/31/2003 ,Female,Other National Origin - Obsolete,Jan/11/1984 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Feb/03/2003 ,Female,NULL,Apr/10/1976 ,NULL,NULL,NULL,NULL,15 - 100 Employees,Private Employer
Feb/03/2003 ,Female,Other National Origin - Obsolete,Aug/16/1964 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Feb/03/2003 ,Female,Other National Origin - Obsolete,Sep/20/1982 ,NULL,I,721110,Hotels (except Casino Hotels) and Motels,NULL,Private Employer
Feb/04/2003 ,Male,Other National Origin - Obsolete,Jun/23/1963 ,NULL,B,921190,Other General Government Support,501+ Employees,State/Local Govt
Feb/05/2003 ,Female,Other National Origin - Obsolete,Jul/23/1981 ,NULL,B,813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",15 - 100 Employees,Private Employer
Feb/05/2003 ,Male,Other National Origin - Obsolete,Feb/26/1957 ,NULL,B,NULL,NULL,501+ Employees,Private Employer
Feb/06/2003 ,Female,Other National Origin - Obsolete,Dec/03/1979 ,NULL,B,446110,Pharmacies and Drug Stores,501+ Employees,Private Employer
Feb/06/2003 ,Female,Other National Origin - Obsolete,Feb/16/1977 ,NULL,W,NULL,NULL,Unknown Number Of Employees,Private Employer
Feb/06/2003 ,Female,Other National Origin - Obsolete,Nov/12/1976 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Feb/06/2003 ,Female,Other National Origin - Obsolete,Mar/12/1968 ,NULL,W,522298,All Other Nondepository Credit Intermediation,501+ Employees,Private Employer
Feb/07/2003 ,Female,Hispanic - Obsolete,Dec/08/1977 ,NULL,W,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,15 - 100 Employees,Private Employer
Feb/07/2003 ,Female,Other National Origin - Obsolete,NULL,NULL,O,481111,Scheduled Passenger Air Transportation,501+ Employees,Private Employer
Feb/10/2003 ,Female,NULL,Jul/07/1985 ,NULL,W,722110,Full-Service Restaurants,101 - 200 Employees,Private Employer
Feb/10/2003 ,Female,Other National Origin - Obsolete,May/30/1970 ,NULL,W,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),501+ Employees,Private Employer
Feb/10/2003 ,Female,Other National Origin - Obsolete,Jan/30/1962 ,NULL,W,622110,General Medical and Surgical Hospitals,15 - 100 Employees,Private Employer
Feb/10/2003 ,Female,Other National Origin - Obsolete,Feb/17/1958 ,NULL,W,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Feb/11/2003 ,Female,Other National Origin - Obsolete,Jan/31/1967 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Feb/11/2003 ,Female,NULL,Sep/20/1956 ,NULL,W,621999,All Other Miscellaneous Ambulatory Health Care Services,501+ Employees,Private Employer
Feb/11/2003 ,Female,Other National Origin - Obsolete,Feb/13/1968 ,NULL,W,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Feb/11/2003 ,Female,NULL,NULL,NULL,NULL,NULL,NULL,501+ Employees,Private Employer
Feb/12/2003 ,Female,Other National Origin - Obsolete,Apr/13/1983 ,NULL,B,721110,Hotels (except Casino Hotels) and Motels,101 - 200 Employees,Private Employer
Feb/13/2003 ,Female,Other National Origin - Obsolete,Feb/13/1970 ,NULL,B,621999,All Other Miscellaneous Ambulatory Health Care Services,15 - 100 Employees,Private Employer
Feb/13/2003 ,Female,Other National Origin - Obsolete,Aug/11/1956 ,NULL,W,493190,Other Warehousing and Storage,101 - 200 Employees,Private Employer
Feb/14/2003 ,Female,Other National Origin - Obsolete,Feb/17/1971 ,NULL,B,531390,Other Activities Related to Real Estate,15 - 100 Employees,Private Employer
Feb/14/2003 ,Female,Other National Origin - Obsolete,Apr/16/1974 ,NULL,W,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Feb/14/2003 ,Female,East Indian - Obsolete,Apr/20/1948 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Feb/18/2003 ,Female,Other National Origin - Obsolete,May/07/1954 ,NULL,W,541990,"All Other Professional, Scientific, and Technical Services",15 - 100 Employees,Private Employer
Feb/18/2003 ,Female,Other National Origin - Obsolete,May/16/1967 ,NULL,W,511110,Newspaper Publishers,201 - 500 Employees,Private Employer
Feb/18/2003 ,Female,NULL,NULL,NULL,NULL,NULL,NULL,201 - 500 Employees,Private Employer
Feb/19/2003 ,Female,Other National Origin - Obsolete,Apr/22/1970 ,NULL,W,333120,Construction Machinery Manufacturing,101 - 200 Employees,Private Employer
Feb/19/2003 ,Female,Other National Origin - Obsolete,Aug/12/1954 ,NULL,W,313221,Narrow Fabric Mills,Unknown Number Of Employees,Private Employer
Feb/19/2003 ,Female,Other National Origin - Obsolete,Apr/29/1983 ,NULL,O,517310,Telecommunications Resellers,15 - 100 Employees,Private Employer
Feb/19/2003 ,Female,Other National Origin - Obsolete,Feb/29/1960 ,NULL,W,325412,Pharmaceutical Preparation Manufacturing,501+ Employees,Private Employer
Feb/19/2003 ,Female,Other National Origin - Obsolete,Jun/05/1978 ,NULL,B,922190,"Other Justice, Public Order, and Safety Activities",15 - 100 Employees,Private Employer
Feb/20/2003 ,Female,Other National Origin - Obsolete,Jun/19/1968 ,NULL,W,922120,Police Protection,15 - 100 Employees,Private Employer
Feb/20/2003 ,Female,Other National Origin - Obsolete,Feb/16/1970 ,NULL,W,NULL,NULL,101 - 200 Employees,Private Employer
Feb/20/2003 ,Female,Other National Origin - Obsolete,Dec/01/1958 ,NULL,W,517310,Telecommunications Resellers,501+ Employees,Private Employer
Feb/21/2003 ,Female,Other National Origin - Obsolete,Jan/02/1941 ,NULL,O,722110,Full-Service Restaurants,201 - 500 Employees,Private Employer
Feb/21/2003 ,Female,Other National Origin - Obsolete,NULL,NULL,W,NULL,NULL,Unknown Number Of Employees,Private Employer
Feb/21/2003 ,Female,Other National Origin - Obsolete,Jan/20/1979 ,NULL,W,441110,New Car Dealers,15 - 100 Employees,Private Employer
Feb/21/2003 ,Female,Other National Origin - Obsolete,Aug/25/1973 ,NULL,B,311999,All Other Miscellaneous Food Manufacturing,501+ Employees,Private Employer
Feb/21/2003 ,Female,Other National Origin - Obsolete,Feb/19/1953 ,NULL,O,313221,Narrow Fabric Mills,15 - 100 Employees,Private Employer
Feb/21/2003 ,Female,Other National Origin - Obsolete,Aug/05/1966 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Feb/23/2003 ,Male,Other National Origin - Obsolete,Jul/19/1959 ,NULL,W,NULL,NULL,201 - 500 Employees,Elected Official/State-Local
Feb/24/2003 ,Female,Other National Origin - Obsolete,Feb/28/1964 ,NULL,O,621999,All Other Miscellaneous Ambulatory Health Care Services,15 - 100 Employees,Private Employer
Feb/24/2003 ,Female,Other National Origin - Obsolete,Sep/05/1959 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Feb/24/2003 ,Female,Other National Origin - Obsolete,Feb/01/1960 ,NULL,B,421120,Motor Vehicle Supplies and New Parts Wholesalers,501+ Employees,Private Employer
Feb/24/2003 ,Male,Other National Origin - Obsolete,Dec/20/1945 ,NULL,W,561790,Other Services to Buildings and Dwellings,501+ Employees,Private Employer
Feb/25/2003 ,Male,Hispanic - Obsolete,Jul/31/1965 ,NULL,W,441110,New Car Dealers,501+ Employees,Private Employer
Feb/25/2003 ,Female,Other National Origin - Obsolete,Dec/06/1967 ,NULL,O,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Feb/25/2003 ,Female,Other National Origin - Obsolete,Oct/15/1965 ,NULL,O,NULL,NULL,501+ Employees,Private Employer
Feb/25/2003 ,Female,Other National Origin - Obsolete,NULL,NULL,W,813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",15 - 100 Employees,Other
Feb/25/2003 ,Female,Other National Origin - Obsolete,Dec/09/1947 ,NULL,O,541990,"All Other Professional, Scientific, and Technical Services",201 - 500 Employees,Private Employer
Feb/25/2003 ,Male,Other National Origin - Obsolete,Jun/28/1952 ,NULL,W,488999,All Other Support Activities for Transportation,501+ Employees,Private Employer
Feb/26/2003 ,Female,NULL,Aug/05/1978 ,NULL,NULL,NULL,NULL,15 - 100 Employees,Private Employer
Feb/26/2003 ,Female,Other National Origin - Obsolete,Apr/26/1952 ,NULL,W,922190,"Other Justice, Public Order, and Safety Activities",101 - 200 Employees,State/Local Govt
Feb/27/2003 ,Female,Other National Origin - Obsolete,Nov/01/1971 ,NULL,B,452990,All Other General Merchandise Stores,501+ Employees,Private Employer
Feb/27/2003 ,Female,Other National Origin - Obsolete,Dec/29/1957 ,NULL,W,523140,Commodity Contracts Brokerage,501+ Employees,Private Employer
Feb/27/2003 ,Male,Other National Origin - Obsolete,Aug/20/1960 ,NULL,W,452910,Warehouse Clubs and Supercenters,501+ Employees,Private Employer
Feb/28/2003 ,Female,Other National Origin - Obsolete,Jul/17/1984 ,NULL,O,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Feb/28/2003 ,Female,Other National Origin - Obsolete,Aug/05/1965 ,NULL,A,334419,Other Electronic Component Manufacturing,201 - 500 Employees,Private Employer
Feb/28/2003 ,Female,Other National Origin - Obsolete,Apr/29/1968 ,NULL,I,452910,Warehouse Clubs and Supercenters,501+ Employees,Private Employer
Feb/28/2003 ,Female,Other National Origin - Obsolete,Nov/03/1966 ,NULL,B,561790,Other Services to Buildings and Dwellings,15 - 100 Employees,Private Employer
Feb/28/2003 ,Female,Other National Origin - Obsolete,Apr/14/1974 ,NULL,O,921190,Other General Government Support,501+ Employees,State/Local Govt
Feb/28/2003 ,Female,Other National Origin - Obsolete,Aug/19/1965 ,NULL,B,334419,Other Electronic Component Manufacturing,101 - 200 Employees,Private Employer
Mar/03/2003 ,Female,Other National Origin - Obsolete,Jul/17/1968 ,NULL,W,622110,General Medical and Surgical Hospitals,501+ Employees,Private Employer
Mar/03/2003 ,Male,Other National Origin - Obsolete,Nov/29/1977 ,NULL,W,722110,Full-Service Restaurants,501+ Employees,Private Employer
Mar/03/2003 ,Female,Mexican - Obsolete,Nov/16/1965 ,NULL,O,561439,Other Business Service Centers (including Copy Shops),201 - 500 Employees,Private Employer
Mar/03/2003 ,Female,"Arab, Afganhi or Middle-Eastern - Obsolete",Apr/21/1955 ,NULL,O,813930,Labor Unions and Similar Labor Organizations,501+ Employees,Union
Mar/03/2003 ,Female,"Arab, Afganhi or Middle-Eastern - Obsolete",Apr/21/1955 ,NULL,O,325412,Pharmaceutical Preparation Manufacturing,501+ Employees,Private Employer
Mar/03/2003 ,Female,NULL,Sep/20/1967 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Mar/03/2003 ,Female,Other National Origin - Obsolete,Jul/10/1944 ,NULL,W,442110,Furniture Stores,15 - 100 Employees,Private Employer
Mar/03/2003 ,Female,Other National Origin - Obsolete,Dec/06/1958 ,NULL,W,333611,Turbine and Turbine Generator Set Units Manufacturing,501+ Employees,Private Employer
Mar/04/2003 ,Female,Other National Origin - Obsolete,Apr/20/1972 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Mar/04/2003 ,Female,Other National Origin - Obsolete,May/13/1963 ,NULL,B,541990,"All Other Professional, Scientific, and Technical Services",201 - 500 Employees,Private Employer
Mar/04/2003 ,Female,Hispanic - Obsolete,Dec/03/1974 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Mar/05/2003 ,Female,Other National Origin - Obsolete,Oct/05/1956 ,NULL,B,523999,Miscellaneous Financial Investment Activities,501+ Employees,Private Employment Agency
Mar/05/2003 ,Female,Other National Origin - Obsolete,Mar/08/1985 ,NULL,W,453210,Office Supplies and Stationery Stores,15 - 100 Employees,Private Employer
Mar/05/2003 ,Female,NULL,Aug/08/1976 ,NULL,W,488190,Other Support Activities for Air Transportation,501+ Employees,Private Employer
Mar/05/2003 ,Female,Other National Origin - Obsolete,Oct/05/1956 ,NULL,B,921190,Other General Government Support,501+ Employees,Private Employment Agency
Mar/05/2003 ,Female,Other National Origin - Obsolete,Dec/23/1975 ,NULL,B,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,501+ Employees,Private Employer
Mar/05/2003 ,Female,Other National Origin - Obsolete,Mar/08/1970 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Mar/05/2003 ,Female,Other National Origin - Obsolete,Aug/12/1982 ,NULL,O,488490,Other Support Activities for Road Transportation,15 - 100 Employees,Private Employer
Mar/06/2003 ,Female,Other National Origin - Obsolete,Nov/03/1983 ,NULL,W,722110,Full-Service Restaurants,Unknown Number Of Employees,Private Employer
Mar/06/2003 ,Female,Other National Origin - Obsolete,Jun/19/1983 ,NULL,B,452990,All Other General Merchandise Stores,501+ Employees,Private Employer
Mar/06/2003 ,Female,Mexican - Obsolete,Feb/14/1942 ,NULL,W,337127,Institutional Furniture Manufacturing,15 - 100 Employees,Private Employer
Mar/10/2003 ,Female,Other National Origin - Obsolete,Jan/01/1950 ,NULL,W,311999,All Other Miscellaneous Food Manufacturing,15 - 100 Employees,Private Employer
Mar/10/2003 ,Female,Other National Origin - Obsolete,Jun/28/1950 ,NULL,W,421120,Motor Vehicle Supplies and New Parts Wholesalers,15 - 100 Employees,Private Employer
Mar/10/2003 ,Female,Other National Origin - Obsolete,Apr/28/1972 ,NULL,O,332439,Other Metal Container Manufacturing,15 - 100 Employees,Private Employer
Mar/10/2003 ,Female,Other National Origin - Obsolete,Nov/17/1978 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Mar/11/2003 ,Female,Other National Origin - Obsolete,Mar/28/1973 ,NULL,W,812990,All Other Personal Services,15 - 100 Employees,Private Employer
Mar/11/2003 ,Female,Other National Origin - Obsolete,Nov/12/1979 ,NULL,B,923120,Administration of Public Health Programs,15 - 100 Employees,Private Employer
Mar/11/2003 ,Male,Other National Origin - Obsolete,Mar/28/1959 ,NULL,W,332114,Custom Roll Forming,15 - 100 Employees,Private Employer
Mar/11/2003 ,Female,Other National Origin - Obsolete,NULL,NULL,O,523999,Miscellaneous Financial Investment Activities,15 - 100 Employees,Private Employer
Mar/11/2003 ,Female,Other National Origin - Obsolete,Jul/12/1968 ,NULL,W,541990,"All Other Professional, Scientific, and Technical Services",501+ Employees,Private Employer
Mar/11/2003 ,Female,Mexican - Obsolete,Jan/29/1965 ,NULL,W,452111,Department Stores (except Discount Department Stores),201 - 500 Employees,Private Employer
Mar/12/2003 ,Female,Other National Origin - Obsolete,Aug/14/1957 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Mar/12/2003 ,Female,NULL,Oct/04/1972 ,NULL,W,523999,Miscellaneous Financial Investment Activities,15 - 100 Employees,Private Employer
Mar/12/2003 ,Female,NULL,May/09/1973 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Mar/12/2003 ,Female,NULL,Jan/30/1975 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Mar/13/2003 ,Female,Mexican - Obsolete,Jan/02/1970 ,NULL,O,111336,Fruit and Tree Nut Combination Farming,101 - 200 Employees,Private Employer
Mar/13/2003 ,Female,Other National Origin - Obsolete,Nov/19/1969 ,NULL,W,926120,Regulation and Administration of Transportation Programs,501+ Employees,State/Local Govt
Mar/13/2003 ,Female,Other National Origin - Obsolete,Oct/26/1979 ,NULL,W,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Mar/13/2003 ,Female,Other National Origin - Obsolete,Nov/27/1946 ,NULL,O,921190,Other General Government Support,501+ Employees,State/Local Govt
Mar/14/2003 ,Female,NULL,NULL,NULL,NULL,NULL,NULL,15 - 100 Employees,Private Employer
Mar/14/2003 ,Male,Other National Origin - Obsolete,Jul/05/1959 ,NULL,W,236220,Commercial and Institutional Building Construction,501+ Employees,Private Employer
Mar/14/2003 ,Male,Other National Origin - Obsolete,Jul/05/1959 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Mar/13/2003 ,Female,Other National Origin - Obsolete,Feb/20/1979 ,NULL,W,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Mar/17/2003 ,Female,Other National Origin - Obsolete,Oct/07/1970 ,NULL,W,721199,All Other Traveler Accommodation,15 - 100 Employees,Private Employer
Mar/17/2003 ,Female,Other National Origin - Obsolete,Jun/28/1957 ,NULL,B,NULL,NULL,201 - 500 Employees,Private Employer
Mar/17/2003 ,Female,Other National Origin - Obsolete,Jul/18/1957 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Mar/17/2003 ,Female,Other National Origin - Obsolete,Nov/06/1966 ,NULL,W,561499,All Other Business Support Services,15 - 100 Employees,Private Employer
Mar/17/2003 ,Female,Hispanic - Obsolete,Apr/29/1939 ,NULL,W,485410,School and Employee Bus Transportation,15 - 100 Employees,Private Employer
Mar/17/2003 ,Female,Hispanic - Obsolete,NULL,NULL,O,518210,"Data Processing, Hosting, and Related Services",501+ Employees,Private Employer
Mar/17/2003 ,Female,Other National Origin - Obsolete,Dec/03/1963 ,NULL,B,NULL,NULL,15 - 100 Employees,Private Employer
Mar/17/2003 ,Female,Hispanic - Obsolete,Feb/05/1974 ,NULL,W,621511,Medical Laboratories,15 - 100 Employees,Private Employer
Mar/17/2003 ,Female,Other National Origin - Obsolete,Oct/30/1953 ,NULL,O,488999,All Other Support Activities for Transportation,15 - 100 Employees,Private Employer
Mar/18/2003 ,Female,Other National Origin - Obsolete,Apr/03/1977 ,NULL,O,923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)",501+ Employees,Federal Government Agency
Mar/18/2003 ,Female,Other National Origin - Obsolete,Apr/19/1950 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Mar/19/2003 ,Female,NULL,Mar/27/1982 ,NULL,NULL,NULL,NULL,15 - 100 Employees,Private Employer
Mar/19/2003 ,Female,Mexican - Obsolete,Dec/10/1960 ,NULL,W,721199,All Other Traveler Accommodation,501+ Employees,Private Employer
Mar/19/2003 ,Female,Other National Origin - Obsolete,NULL,NULL,B,518210,"Data Processing, Hosting, and Related Services",501+ Employees,Private Employer
Mar/19/2003 ,Female,Other National Origin - Obsolete,NULL,NULL,W,922190,"Other Justice, Public Order, and Safety Activities",15 - 100 Employees,State/Local Govt
Mar/19/2003 ,Female,Other National Origin - Obsolete,Jun/24/1964 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Mar/19/2003 ,CP Sex Not Available/Applicable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Private Employer
Mar/20/2003 ,Female,Other National Origin - Obsolete,Jan/16/1986 ,NULL,B,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Mar/20/2003 ,Female,Other National Origin - Obsolete,Dec/09/1947 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Mar/21/2003 ,Female,Other National Origin - Obsolete,Jan/27/1955 ,NULL,O,622110,General Medical and Surgical Hospitals,501+ Employees,Private Employer
